국적,대한항공,아시아나항공,에어부산,이스타항공,제주항공,진에어,티웨이,에어서울,에어로케이,에어프레미아,에어제타
남아프리카,0,0,0,0,0,0,0,0,0,0,0
네덜란드,6,0,0,0,0,0,0,0,0,0,0
뉴질랜드,8,0,0,0,0,2,1,0,0,0,0
독일,7,0,0,0,0,0,0,0,0,0,0
덴마크,1,0,0,0,0,0,0,0,0,0,0
러시아,10,0,0,0,0,0,0,0,0,0,2
나미비아,0,0,0,0,0,0,0,0,0,0,0
말레이시아,22,0,0,0,0,0,0,0,0,0,0
멕시코,4,0,0,0,0,0,0,0,0,0,0
미국,4,0,0,0,0,4,1,1,0,0,0
벨기에,7,0,0,0,0,0,0,0,0,0,1
불가리아,0,0,0,0,0,0,0,0,0,0,0
브라질,8,0,0,0,0,0,0,0,0,0,0
슬로베니아,0,0,0,0,0,0,0,0,0,0,0
엘살바도르,1,0,0,0,0,0,0,0,0,0,0
영국,7,0,0,0,0,0,0,0,0,0,0
오스트리아,3,0,0,0,0,0,0,0,0,0,0
룩셈부르크,0,0,0,0,0,0,0,0,0,0,0
이탈리아,9,0,0,0,0,0,0,0,0,0,0
인도,6,0,0,0,0,0,0,0,0,0,0
인도네시아,2,0,0,0,0,0,0,0,0,0,0
체코,6,0,0,0,0,0,0,0,0,0,0
캐나다,11,0,0,0,0,3,2,0,1,0,0
콜롬비아,0,0,0,0,0,0,0,0,0,0,0
태국,4,0,0,0,0,0,0,0,0,0,0
스웨덴,0,0,0,0,0,0,0,0,0,0,0
프랑스,6,0,0,0,0,0,0,0,0,0,0
필리핀,2,0,0,0,0,0,0,0,0,0,1
호주,12,0,0,0,0,1,0,0,0,0,0
포르투갈,1,0,0,0,0,0,0,0,0,0,0
볼리비아,0,0,0,0,0,0,0,0,0,0,0
대만,5,1,0,0,0,0,0,0,0,0,5
베네수엘라,1,0,0,0,0,0,0,0,0,0,0
폴란드,1,0,0,0,0,0,0,0,0,0,0
과테말라,0,0,0,0,0,0,0,0,0,0,0
노르웨이,0,0,0,0,0,0,0,0,0,0,0
사이프러스,0,0,0,0,0,0,0,0,0,0,0
스위스,3,0,0,0,0,0,0,0,0,0,0
스페인,4,0,0,0,0,0,0,0,0,0,0
싱가포르,2,0,0,0,0,0,0,0,0,0,0
아르헨티나,2,0,0,0,0,0,0,0,0,0,0
유고슬라비아,0,0,0,0,0,0,0,0,0,0,0
터키,0,0,0,0,0,0,0,0,0,0,0
파나마,0,0,0,0,0,0,0,0,0,0,0
코스타리카,0,0,0,0,0,0,0,0,0,0,0
우크라이나,0,0,0,0,0,0,0,0,0,0,0
크로아티아,0,0,0,0,0,0,0,0,0,0,0
키프로스,0,0,0,0,0,0,0,0,0,0,0
슬로바키아,1,0,0,0,0,0,0,0,0,0,0
아이슬란드,0,0,0,0,0,0,0,0,0,0,0
일본,10,0,0,0,0,0,0,0,0,0,0
아일랜드,1,0,0,0,0,0,0,0,0,0,0
이집트,0,0,0,0,0,0,0,0,0,0,0
홍콩,0,0,0,0,0,0,0,0,0,0,0
튀니지,0,0,0,0,0,0,0,0,0,0,0
세르비아,1,0,0,0,0,0,0,0,0,0,0
온두라스,0,0,0,0,0,0,0,0,0,0,0
에콰도르,1,1,0,0,0,0,0,0,0,0,0
칠레,0,0,0,0,0,0,0,0,0,0,0
자메이카,2,0,0,0,0,0,0,0,0,0,0
그리스,2,0,0,0,0,0,0,0,0,0,0
중국,0,0,0,0,0,0,0,0,0,0,0
카자흐스탄,0,0,0,0,0,0,0,0,0,0,0
모리셔스,0,0,0,0,0,0,0,0,0,0,0
우즈베키스탄,0,0,0,0,0,0,0,0,0,0,0
투르크메니스탄,0,0,0,0,0,0,0,0,0,0,0
키르기스스탄,0,0,0,0,0,0,0,0,0,0,0
핀란드,0,0,0,0,0,0,0,0,0,0,0
브루나이,4,0,0,0,0,0,0,0,0,0,0
