국적,판매년월,매출
내국인,2024-01-01,38362534060
일본인,2024-01-01,8895310
중국인,2024-01-01,225463990
기타,2024-01-01,86742300
대만,2024-01-01,8371420
미국인,2024-01-01,56750900
러시아인,2024-01-01,5541780
태국인,2024-01-01,4044740
홍콩인,2024-01-01,780380
필리핀인,2024-01-01,3523610
내국인,2024-02-01,37484986450
일본인,2024-02-01,6755950
중국인,2024-02-01,298985880
기타,2024-02-01,86157780
대만,2024-02-01,9791510
미국인,2024-02-01,51665040
러시아인,2024-02-01,4585110
태국인,2024-02-01,6456520
홍콩인,2024-02-01,875030
필리핀인,2024-02-01,1343480
내국인,2024-03-01,40955716380
일본인,2024-03-01,16138920
중국인,2024-03-01,270178680
기타,2024-03-01,157827910
대만,2024-03-01,15525930
미국인,2024-03-01,105187340
러시아인,2024-03-01,7443180
태국인,2024-03-01,6589370
홍콩인,2024-03-01,3849870
필리핀인,2024-03-01,2526770
내국인,2024-04-01,43539598510
일본인,2024-04-01,15702460
중국인,2024-04-01,310974730
기타,2024-04-01,217708970
대만,2024-04-01,17187480
미국인,2024-04-01,163839620
러시아인,2024-04-01,8312940
태국인,2024-04-01,7697100
홍콩인,2024-04-01,3865690
필리핀인,2024-04-01,4712690
내국인,2024-05-01,41676180410
일본인,2024-05-01,15325600
중국인,2024-05-01,374981100
기타,2024-05-01,211120100
대만,2024-05-01,16791660
미국인,2024-05-01,172392660
러시아인,2024-05-01,11593690
태국인,2024-05-01,4642740
홍콩인,2024-05-01,3918510
필리핀인,2024-05-01,5769240
내국인,2024-06-01,40227503060
일본인,2024-06-01,9159150
중국인,2024-06-01,332112450
기타,2024-06-01,180889750
대만,2024-06-01,11294890
미국인,2024-06-01,156190660
러시아인,2024-06-01,10298370
태국인,2024-06-01,4584160
홍콩인,2024-06-01,4261970
필리핀인,2024-06-01,4974840
내국인,2024-07-01,34491462710
일본인,2024-07-01,9699760
중국인,2024-07-01,348798090
기타,2024-07-01,144517610
대만,2024-07-01,11478870
미국인,2024-07-01,123424340
러시아인,2024-07-01,14677960
태국인,2024-07-01,4340160
홍콩인,2024-07-01,6354510
필리핀인,2024-07-01,5219860
내국인,2024-08-01,38613475300
일본인,2024-08-01,18019100
중국인,2024-08-01,387019340
기타,2024-08-01,138275610
대만,2024-08-01,10292290
미국인,2024-08-01,85447920
러시아인,2024-08-01,21904240
태국인,2024-08-01,3931720
홍콩인,2024-08-01,3768700
필리핀인,2024-08-01,2199230
내국인,2024-09-01,36087119040
일본인,2024-09-01,12388690
중국인,2024-09-01,322633180
기타,2024-09-01,170364240
대만,2024-09-01,16152010
미국인,2024-09-01,120899170
러시아인,2024-09-01,14777420
태국인,2024-09-01,2392740
홍콩인,2024-09-01,814560
필리핀인,2024-09-01,2670580
내국인,2024-10-01,37855008320
일본인,2024-10-01,12323850
중국인,2024-10-01,264276080
기타,2024-10-01,229129300
대만,2024-10-01,11431220
미국인,2024-10-01,194388250
러시아인,2024-10-01,18057780
태국인,2024-10-01,3916010
홍콩인,2024-10-01,2328970
필리핀인,2024-10-01,6713120
내국인,2024-11-01,36064101620
일본인,2024-11-01,11707490
중국인,2024-11-01,192909810
기타,2024-11-01,181818460
대만,2024-11-01,12003500
미국인,2024-11-01,112851830
러시아인,2024-11-01,16523200
태국인,2024-11-01,3546190
홍콩인,2024-11-01,3306430
필리핀인,2024-11-01,3334150
내국인,2024-12-01,30773499300
일본인,2024-12-01,6293770
중국인,2024-12-01,189542730
기타,2024-12-01,123456310
대만,2024-12-01,6933190
미국인,2024-12-01,75940940
러시아인,2024-12-01,9911340
태국인,2024-12-01,3597520
홍콩인,2024-12-01,621180
필리핀인,2024-12-01,4354540
