주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,전화번호,위도,경도,상표구분명,대표자명,총직원수,데이터기준일자
면목self주유소,서울특별시,중랑구,서울특별시 중랑구 동일로 627,서울특별시 중랑구 면목동 175-1,,37.586283,127.079503,SK,,,2026-02-13
구도일주유소 동천,서울특별시,중랑구,서울특별시 중랑구 동일로 654,서울특별시 중랑구 면목동 145-56,,37.589108,127.080262,S-Oil,,,2026-02-13
범아주유소,서울특별시,중랑구,서울특별시 중랑구 동일로 881,서울특별시 중랑구 묵동 244-151,,37.609228,127.077627,S-Oil,,,2026-02-13
오천만주유소,서울특별시,중랑구,서울특별시 중랑구 동일로 547,서울특별시 중랑구 면목동 169-3,,37.579081,127.079322,S-Oil,,,2026-02-13
대원주유소,서울특별시,중랑구,서울특별시 중랑구 동일로 600,서울특별시 중랑구 면목동 161-17,,37.58406763,127.080193,GS,,,2026-02-13
대창주유소,서울특별시,중랑구,서울특별시 중랑구 동일로 636,서울특별시 중랑구 면목동 146-72,,37.587215,127.080281,현대,,,2026-02-13
대양주유소,서울특별시,중랑구,서울특별시 중랑구 봉우재로 105,서울특별시 중랑구 상봉동 109-45,,37.592617,127.084739,GS,,,2026-02-13
구도일주유소 한인,서울특별시,중랑구,서울특별시 중랑구 망우로 170,서울특별시 중랑구 상봉동 137-8,,37.592385,127.071808,S-Oil,,,2026-02-13
신내주유소,서울특별시,중랑구,서울특별시 중랑구 용마산로 705,서울특별시 중랑구 신내동 352,,37.614161,127.100926,SK,,,2026-02-13
기지에너지,서울특별시,중랑구,서울특별시 중랑구 용마산로 716,서울특별시 중랑구 신내동 71-21,,37.61477309,127.1019433,S-Oil,,,2026-02-13
우림주유소,서울특별시,중랑구,서울특별시 중랑구 용마산로 487,서울특별시 중랑구 망우동 458-6,,37.594674,127.099322,GS,,,2026-02-13
신일주유소,서울특별시,중랑구,서울특별시 중랑구 상봉로 58,서울특별시 중랑구 망우동 523-4,,37.59101049,127.093808,SK,,,2026-02-13
용마로주유소,서울특별시,중랑구,서울특별시 중랑구 용마산로 309,서울특별시 중랑구 면목동 528,,37.579878,127.0922253,SK,,,2026-02-13
